INSERT INTO public.employee(sin_number, brand_id, franchise_id, first_name, middle_initial, last_name, street_number, street_name, unit_number, city, province, country, postal_code, salary, manager_sin, role)
VALUES
('844267476',1,1,'Liza','J','Leighton',12,'Jeff St',1,'McCity','ON','CA','L1S1S1',50000.00,'concierge'),
('575386759',1,1,'Janita','A','Zehner',12,'Jeff St',2,'McCity','ON','CA','L1S1S1',50000.00,'concierge'),
('882755675',1,1,'Dake','D','Kennyon',12,'Jeff St',3,'McCity','ON','CA','L1S1S1',31000.00,'housekeeper'),
('187035778',1,1,'Eveline','T','Pitri',12,'Jeff St',4,'McCity','ON','CA','L1S1S1',78000.00,'manager'),
('520890581',1,2,'Yon','A','Silveria',15,'Donald St',3,'NewTown','ON','CA','K1G5G5',59000.00,'concierge'),
('134124523',1,2,'Shirley','T','Sheldon',15,'Donald St',2,'NewTown','ON','CA','K1G5G5',39000.00,'housekeeper'),
('849302518',1,2,'Juliet','P','Shirff',15,'Donald St',1,'NewTown','ON','CA','K1G5G5',786000.00,'manager'),
('900509587',1,2,'Keeley','K','Cabiness',15,'Donald St',4,'NewTown','ON','CA','K1G5G5',56000.00,'concierge'),
('831724863',1,3,'Noellia','H','Massis',19,'Donald St',2,'NouvelleVille','ON','CA','I6H5H5',66000.00,'concierge'),
('150358884',1,3,'Elena','Y','Almquist',19,'Donald St',1,'NouvelleVille','ON','CA','I6H5H5',29000.00,'housekeeper'),
('381027437',1,3,'Alfred','H','Tooks',19,'Donald St',3,'NouvelleVille','ON','CA','I6H5H5',96000.00,'manager'),
('275147570',1,4,'Alex','O','Acuedo',21,'Michael St',3,'OldTown','ON','CA','1G25G2',21000.00,'housekeeper'),
('947525751',1,4,'Ralph','O','Ronaldo',21,'Michael St',7,'OldTown','ON','CA','1G25G2',31000.00,'concierge'),
('652498225',1,4,'Vern','V','Cosgrove',21,'Michael St',10,'OldTown','ON','CA','1G25G2',45000.00,'concierge'),
('865122555',1,4,'Kiara','K','Sewell',21,'Michael St',9,'OldTown','ON','CA','1G25G2',110500.00,'manager'),
('150781283',1,5,'Carlie','B','Morin',75,'Middleton St',2,'Charleston','BC','CA','B4A2G3',546500.00,'concierge'),
('442175326',1,5,'Milton','O','Crane',77,'Middleton St',21,'Charlestone','BC','CA','B4A2G3',49700.00,'housekeeper'),
('337644385',1,5,'Stella','S','Rivers',77,'Middleton St',3,'Charlestone','BC','CA','B4A2G3',836500.00,'manager'),
('516617613',2,1,'Latrisha','A','Leicht',1333,'Moorside Fold',3,'Kamloops','BC','CA','N3B8H2',161000.00,'manager'),
('863984878',2,1,'Carly','F','Gwinn',1967,'Homestead Cliff',5,'Surrey','BC','CA','K9K9Y9',75000.00,'concierge'),
('440769513',2,1,'Ebony','B','Yagi',8991,'Frome Hill',19,'Saskatoon','SK','CA','K8V9PS',278000.00,'concierge'),
('004839627',2,1,'Eveline','K','Stockbridge',9751,'Clark Villas',20,'Saguenay','QC','CA','G8M7H4',210000.00,'housekeeper'),
('016589590',2,2,'Elenora','C','Wellons',3544,'Oakdene Poplars',17,'Vaughan','ON','CA','B1H7S7',362000.00,'manager'),
('822137427',2,2,'Janelle','S','Oliverio',1887,'Radnor Lawn',20,'Lethbridge','AB','CA','G4A6H2',333000.00,'concierge'),
('163530031',2,2,'Gregory','D','Hurwitz',2252,'Stanton Terrace',3,'Ottawa','ON','CA','H7P7A0',104000.00,'concierge'),
('487595586',2,2,'Ferne','L','Grau',605,'Westfield By-Pass',13,'Peterborough','ON','CA','G6L8H0',141000.00,'housekeeper'),
('953329220',2,3,'Moses','I','Rish',1053,'Pye Gardens',2,'Kamloops','BC','CA','B3E5M2',182000.00,'manager'),
('614998001',2,3,'Tamera','N','Scranton',7266,'Macdonald Field',4,'Kamloops','BC','CA','N1M4T5',108000.00,'concierge'),
('341541704',2,3,'Latina','B','Swaney',9412,'Ashdale Springs',17,'Kamloops','BC','CA','C1N3V7',417000.00,'concierge'),
('818990982',2,3,'Camie','K','Neil',131,'Milford Lane',2,'Cambridge','ON','CA','E5G2N4',354000.00,'housekeeper'),
('128427548',2,4,'Lois','K','Smalls',9936,'Linhouse Drive',18,'Lethbridge','AB','CA','E4P2J1',312000.00,'manager'),
('237442874',2,4,'Christiana','W','Belcher',3812,'Archer Moor',4,'Vaughan','ON','CA','B1E4J9',173000.00,'concierge'),
('556087395',2,4,'Maragret','B','Alsop',6700,'Fair Leas',15,'Surrey','BC','CA','N0R3J5',357000.00,'concierge'),
('685517329',2,4,'Francesco','P','Hagstrom',2457,'Argyle Manor',8,'Hamilton','ON','CA','R2C3L7',295000.00,'housekeeper'),
('401011918',2,5,'Kitty','A','Weible',84,'Adbolton Avenue',16,'Kelowna','BC','CA','N0L6C3',115000.00,'manager'),
('361218566',2,5,'Forrest','H','Sobel',6356,'Highgate By-Pass',29,'Surrey','BC','CA','N5V8E2',128000.00,'concierge'),
